Details,Posting Date,Description,Amount,Type,Balance
CREDIT,1/15/2021,CVO HOLDING COMP DIRECT DEP                 PPD ID: 9111111101,2447.72,ACH_CREDIT,4172.06
DEBIT,1/13/2021,GCU STUDENT UNION PHOENIX AZ                 01/12,-2.27,DEBIT_CARD,1724.34
DEBIT,1/13/2021,GCU STUDENT UNION PHOENIX AZ                 01/12,-2.44,DEBIT_CARD,1726.61
DEBIT,1/13/2021,GCU STUDENT UNION PHOENIX AZ                 01/12,-4.43,DEBIT_CARD,1729.05
DEBIT,1/12/2021,WHOLEFDS SCT 10246 PHOENIX AZ                01/11,-7.59,DEBIT_CARD,1733.48
DEBIT,1/11/2021,Amazon Prime*G37X26F Amzn.com/bill WA        01/08,-14.11,DEBIT_CARD,1741.07
DEBIT,1/11/2021,HLU*Hulu 16100496598 HULU.COM/BILL CA        01/10,-27.93,DEBIT_CARD,1755.18
DEBIT,1/11/2021,SOUTHWEST GAS    APP                        PPD ID: 4880085720,-36.19,ACH_DEBIT,1783.11
DEBIT,1/11/2021,TRADER JOE'S #087  QPS SCOTTSDALE AZ         01/10,-12.68,DEBIT_CARD,1819.3
DEBIT,1/11/2021,WHOLEFDS SCT 10246 PHOENIX AZ                01/08,-73.49,DEBIT_CARD,1831.98
DEBIT,1/11/2021,DOORDASH*SHAKE SHACK WWW.DOORDASH. CA        01/09,-34.35,DEBIT_CARD,1905.47
CREDIT,1/11/2021,VENMO            CASHOUT                    PPD ID: 5264681992,45,ACH_CREDIT,1939.82
DEBIT,1/8/2021,SPORT CLIPS - AZ126 SCOTTSDALE AZ            01/07,-29,DEBIT_CARD,1894.82
DEBIT,1/7/2021,WHOLEFDS SCT 10246 PHOENIX AZ                01/06,-20.37,DEBIT_CARD,1923.82
DEBIT,1/5/2021,COINBASE.COM     8889087930 2FBUKUXM2C37    WEB ID: 1455293997,-6,ACH_DEBIT,1944.19
DEBIT,1/5/2021,MATTRESS FIRM 029165 PHOENIX AZ              01/04,-2529.28,DEBIT_CARD,1950.19
CREDIT,1/5/2021,VENMO            CASHOUT                    PPD ID: 5264681992,47,ACH_CREDIT,4479.47
DEBIT,1/4/2021,HLU*Hulu 16100496563 HULU.COM/BILL CA        01/02,-3.86,DEBIT_CARD,4432.47
DEBIT,1/4/2021,FID BKG SVC LLC  MONEYLINE                  PPD ID: 0368004600,-1000,ACH_DEBIT,4436.33
DEBIT,1/4/2021,GABLES-1JP20466  WEB PMTS   H553Y6          WEB ID: 9000326709,-1300,ACH_DEBIT,5436.33
DEBIT,1/4/2021,WHOLEFDS SCT 10246 PHOENIX AZ                01/03,-14.97,DEBIT_CARD,6736.33
DEBIT,1/4/2021,FRY'S FOOD DRG 0673 SCOTTSDALE AZ            01/03,-94.21,DEBIT_CARD,6751.3
DEBIT,1/4/2021,PF CHANGS #5300 OLO 111-111-1111 AZ          01/03,-38.32,DEBIT_CARD,6845.51
DEBIT,1/4/2021,BEST BUY      00008706 SCOTTSDALE AZ 397462  01/02,-10.79,DEBIT_CARD,6883.83
DEBIT,1/4/2021,Online Transfer to SAV ...9797 transaction#: 10929175296 01/04,-400,ACCT_XFER,6894.62
DEBIT,1/4/2021,FRY'S FOOD DRG 120 SCOTTSDALE AZ             01/01,-18.09,DEBIT_CARD,7294.62
DEBIT,1/4/2021,CVS/PHARMACY #10529 SCOTTSDALE AZ            01/01,-16.82,DEBIT_CARD,7312.71
CREDIT,1/4/2021,IRS  TREAS 310   XXTAXEIP2                  PPD ID: 9111736069,600,ACH_CREDIT,7329.53
CREDIT,1/4/2021,Online Transfer from SAV ...9797 transaction#: 10941640606,2500,ACCT_XFER,6729.53
DEBIT,12/31/2020,GOOGLE *YouTube Music 855-836-3987 CA        12/30,-10.85,DEBIT_CARD,4229.53
DEBIT,12/31/2020,WHOLEFDS SCT 10246 PHOENIX AZ                12/30,-13.59,DEBIT_CARD,4240.38
DEBIT,12/31/2020,STORE MGRSBUX53805 TEMPE AZ                  12/30,-6,DEBIT_CARD,4253.97
CREDIT,12/31/2020,CVO HOLDING COMP DIRECT DEP                 PPD ID: 9111111101,2428.67,ACH_CREDIT,4259.97
DEBIT,12/30/2020,IKEA TEMPE TEMPE AZ                  987772  12/30,-151.32,DEBIT_CARD,1831.3
DEBIT,12/30/2020,SQ *PRESS SCOTTSDALE QU Phoenix AZ           12/29,-7.67,DEBIT_CARD,1982.62
DEBIT,12/29/2020,VENMO            PAYMENT    5002485036      WEB ID: 3264681992,-10,ACH_DEBIT,1990.29
DEBIT,12/29/2020,VENMO            PAYMENT    5002462345      WEB ID: 3264681992,-14,ACH_DEBIT,2000.29
DEBIT,12/29/2020,FRY'S FOOD DRG 120 SCOTTSDALE AZ             12/28,-61.96,DEBIT_CARD,2014.29
DEBIT,12/29/2020,WHOLEFDS SCT 10246 PHOENIX AZ                12/28,-13.28,DEBIT_CARD,2076.25
CREDIT,12/29/2020,VENMO            CASHOUT                    PPD ID: 5264681992,30,ACH_CREDIT,2089.53
DEBIT,12/28/2020,DISCOVER         E-PAYMENT  2463            WEB ID: 2510020270,-54.92,ACH_DEBIT,2059.53
DEBIT,12/28/2020,WHOLEFDS SCT 10246 PHOENIX AZ                12/27,-47.46,DEBIT_CARD,2114.45
DEBIT,12/28/2020,COSTCO GAS #0427 SCOTTSDALE AZ       014814  12/26,-31.98,DEBIT_CARD,2161.91
DSLIP,12/28/2020,REMOTE ONLINE DEPOSIT #          1,115,CHECK_DEPOSIT,2193.89
DEBIT,12/24/2020,SAFEWAY #1253 SCOTTSDALE AZ                  12/23,-53.49,DEBIT_CARD,2078.89
DEBIT,12/24/2020,WHOLEFDS SCT 10246 PHOENIX AZ                12/23,-44,DEBIT_CARD,2132.38
DEBIT,12/24/2020,Amazon.com*KS4O69FQ3 Amzn.com/bill WA        12/23,-141.17,DEBIT_CARD,2176.38
DEBIT,12/23/2020,SAFEWAY #1253 SCOTTSDALE AZ                  12/22,-91.89,DEBIT_CARD,2317.55
DEBIT,12/23/2020,WHOLEFDS SCT 10246 PHOENIX AZ                12/22,-38.63,DEBIT_CARD,2409.44
CREDIT,12/23/2020,VENMO            CASHOUT                    PPD ID: 5264681992,30,ACH_CREDIT,2448.07
CREDIT,12/23/2020,VENMO            CASHOUT                    PPD ID: 5264681992,62,ACH_CREDIT,2418.07
DEBIT,12/21/2020,WHOLEFDS SCT 10246 PHOENIX AZ                12/20,-29.72,DEBIT_CARD,2356.07
DEBIT,12/18/2020,Online Transfer to SAV ...9797 transaction#: 10838901435 12/18,-1000,ACCT_XFER,2385.79
DEBIT,12/18/2020,CVS/PHARMACY #09202 PHOENIX AZ               12/17,-23.85,DEBIT_CARD,3385.79
CREDIT,12/18/2020,CVO HOLDING COMP DIRECT DEP                 PPD ID: 9111111101,2470.05,ACH_CREDIT,3409.64
DEBIT,12/17/2020,AIRBNB  HMFKRTABCD AIRBNB.COM CA             12/17,231.56,DEBIT_CARD,939.59
DEBIT,12/16/2020,WHOLEFDS SCT 10246 PHOENIX AZ                12/15,-21.67,DEBIT_CARD,708.03
DEBIT,12/16/2020,PAYPAL *MEDIUM.COM 402-935-7733 CA           12/15,-5,DEBIT_CARD,729.7
DEBIT,12/15/2020,AIRBNB  HMFKRTABCD AIRBNB.COM CA             12/14,-416.72,DEBIT_CARD,734.7
DEBIT,12/14/2020,APS electric pmt PAYMENT    3518057919      WEB ID: 1860011170,-49.88,ACH_DEBIT,1151.42
DEBIT,12/14/2020,TST* STATE 48 LAGER HOU SCOTTSDALE AZ        12/13,-24.8,DEBIT_CARD,1201.3
DEBIT,12/14/2020,SAFEWAY #1253 SCOTTSDALE AZ                  12/12,-19.3,DEBIT_CARD,1226.1
DEBIT,12/14/2020,WHOLEFDS SCT 10246 PHOENIX AZ                12/12,-8.98,DEBIT_CARD,1245.4
DEBIT,12/14/2020,GUITAR CENTER MOTO #3 866-498-7882 MI        12/12,-40,DEBIT_CARD,1254.38
DEBIT,12/14/2020,ELEVATE COFFEE COMPANY PHOENIX AZ            12/12,-4.15,DEBIT_CARD,1294.38
DEBIT,12/14/2020,Prime Video*2E6BE2JV3 888-802-3080 WA        12/12,-4.33,DEBIT_CARD,1298.53
DEBIT,12/14/2020,WHOLEFDS SCT 10246 PHOENIX AZ                12/11,-27.36,DEBIT_CARD,1302.86
DEBIT,12/14/2020,CIRCLE K 05915 SCOTTSDALE AZ                 12/11,-25.11,DEBIT_CARD,1330.22
DEBIT,12/11/2020,WHOLEFDS SCT 10246 PHOENIX AZ                12/10,-4.08,DEBIT_CARD,1355.33
DEBIT,12/10/2020,HLU*Hulu 16100496577 HULU.COM/BILL CA        12/10,-12.94,DEBIT_CARD,1359.41
DEBIT,12/10/2020,WHOLEFDS SCT 10246 PHOENIX AZ                12/09,-10.37,DEBIT_CARD,1372.35
DEBIT,12/10/2020,AMZN Mktp US*PK1161L Amzn.com/bill WA        12/09,-28.23,DEBIT_CARD,1382.72
DEBIT,12/10/2020,AMZN Mktp US*NK69F8D Amzn.com/bill WA        12/09,-33.65,DEBIT_CARD,1410.95
DEBIT,12/9/2020,Amazon Prime*7E4ZB8T Amzn.com/bill WA        12/08,-14.11,DEBIT_CARD,1444.6
DEBIT,12/9/2020,SOUTHWEST GAS    APP                        PPD ID: 4880085720,-31.97,ACH_DEBIT,1458.71
DEBIT,12/8/2020,WHOLEFDS SCT 10246 PHOENIX AZ                12/07,-4.38,DEBIT_CARD,1490.68
DEBIT,12/7/2020,VZWRLSS*BILL PAY VN 800-922-0204 FL          12/05,-78.72,DEBIT_CARD,1495.06
DEBIT,12/7/2020,DISCOVER         E-PAYMENT  2463            WEB ID: 2510020270,-192.98,ACH_DEBIT,1573.78
DEBIT,12/7/2020,FRY'S FOOD DRG 120 SCOTTSDALE AZ             12/06,-76.13,DEBIT_CARD,1766.76
DEBIT,12/7/2020,CULVERS OF SCOTTSDALE SCOTTSDALE AZ          12/05,-19.21,DEBIT_CARD,1842.89
DEBIT,12/7/2020,TORTILLA FLAT - MAIN TORTILLA FLAT AZ        12/05,-7.25,DEBIT_CARD,1862.1
DEBIT,12/4/2020,Online Transfer to SAV ...9797 transaction#: 10756729263 12/04,-1200,ACCT_XFER,1869.35
DEBIT,12/4/2020,Online Payment 10755648571 To ALA 5817 12/04,-432.61,LOAN_PMT,3069.35
CREDIT,12/4/2020,CVO HOLDING COMP DIRECT DEP                 PPD ID: 9111111101,2470.05,ACH_CREDIT,3501.96
DEBIT,12/3/2020,GCU STUDENT UNION PHOENIX AZ                 12/02,-7.59,DEBIT_CARD,1031.91
DEBIT,12/1/2020,GOOGLE *YouTube Music 855-836-3987 CA        11/30,-10.85,DEBIT_CARD,1039.5
DEBIT,12/1/2020,FID BKG SVC LLC  MONEYLINE                  PPD ID: 0368004600,-1000,ACH_DEBIT,1050.35
DEBIT,11/30/2020,COSTCO GAS #0427 SCOTTSDALE AZ       024178  11/29,-28.74,DEBIT_CARD,2050.35
DEBIT,11/30/2020,PF CHANGS #5300 OLO 111-111-1111 AZ          11/29,-37.94,DEBIT_CARD,2079.09
DEBIT,11/30/2020,REI #56 PARADISE VAL 1 PHOENIX AZ            11/28,-124.23,DEBIT_CARD,2117.03
CREDIT,11/30/2020,VENMO            CASHOUT                    PPD ID: 5264681992,80,ACH_CREDIT,2241.26
CREDIT,11/30/2020,Online Transfer from SAV ...9797 transaction#: 10716275632,200,ACCT_XFER,2161.26
DEBIT,11/27/2020,WHOLEFDS SCT 102 7111 PHOENIX AZ             11/27 Purchase $3.69 Cash Back $20.00,-23.69,DEBIT_CARD,1961.26
DEBIT,11/27/2020,WHOLEFDS SCT 10246 PHOENIX AZ                11/26,-4.68,DEBIT_CARD,1984.95
DEBIT,11/27/2020,PP*QOSMICQADENCELLC PHOENIX AZ               11/25,-24,DEBIT_CARD,1989.63
DEBIT,11/27/2020,CENTRAL FILLMORE DEV 1 PHOENIX AZ            11/25,-8,DEBIT_CARD,2013.63
DEBIT,11/27/2020,CHEVRON 0207055 SCOTTSDALE AZ                11/25,-20.01,DEBIT_CARD,2021.63
DEBIT,11/27/2020,SQ *PRESS SCOTTSDALE QU Phoenix AZ           11/25,-3.97,DEBIT_CARD,2041.64
DEBIT,11/25/2020,BEST BUY      00008706 SCOTTSDALE AZ 965010  11/25,-300.39,DEBIT_CARD,2045.61
DEBIT,11/25/2020,WHOLEFDS SCT 10246 PHOENIX AZ                11/24,-11.28,DEBIT_CARD,2346
CREDIT,11/25/2020,Online Transfer from SAV ...9797 transaction#: 10700199564,200,ACCT_XFER,2357.28
DEBIT,11/24/2020,CULINARY DROPOUT SCOTTSDALE AZ               11/23,-20.95,DEBIT_CARD,2157.28
DEBIT,11/24/2020,A. WILLIAM CHOULES DDS PHOENIX AZ            11/23,-11,DEBIT_CARD,2178.23
DEBIT,11/24/2020,WHOLEFDS SCT 10246 PHOENIX AZ                11/23,-13.38,DEBIT_CARD,2189.23
DEBIT,11/23/2020,GABLES-1JP20466  WEB PMTS   F9G1R6          WEB ID: 9000326709,-1350,ACH_DEBIT,2202.61
DEBIT,11/23/2020,WHOLEFDS SCT 10246 PHOENIX AZ                11/22,-9.67,DEBIT_CARD,3552.61
DEBIT,11/23/2020,SQ *PRESS SCOTTSDALE QU Scottsdale AZ        11/21,-32.71,DEBIT_CARD,3562.28
DEBIT,11/23/2020,STARBUCKS STORE 62567 PHOENIX AZ             11/20,-3.2,DEBIT_CARD,3594.99
DEBIT,11/20/2020,DISCOVER         E-PAYMENT  2463            WEB ID: 2510020270,-207.28,ACH_DEBIT,3598.19
DEBIT,11/20/2020,BEST GAS MART PHOENIX AZ                     11/19,-15,DEBIT_CARD,3805.47
DEBIT,11/20/2020,GCU STUDENT UNION PHOENIX AZ                 11/19,-8.01,DEBIT_CARD,3820.47
DEBIT,11/20/2020,GCU STUDENT UNION PHOENIX AZ                 11/19,-6.28,DEBIT_CARD,3828.48
DEBIT,11/20/2020,190PEPSIVEN9147678600 PHOENIX AZ             11/19,-1.5,DEBIT_CARD,3834.76
DEBIT,11/20/2020,STARBUCKS STORE 62567 PHOENIX AZ             11/19,-2.66,DEBIT_CARD,3836.26
CREDIT,11/20/2020,CVO HOLDING COMP DIRECT DEP                 PPD ID: 9111111101,2470.05,ACH_CREDIT,3838.92
DEBIT,11/19/2020,WHOLEFDS SCT 10246 PHOENIX AZ                11/18,-11.38,DEBIT_CARD,1368.87
DEBIT,11/19/2020,190PEPSIVEN9147678600 PHOENIX AZ             11/18,-1.5,DEBIT_CARD,1380.25
DEBIT,11/18/2020,SPORT CLIPS - AZ126 SCOTTSDALE AZ            11/17,-28,DEBIT_CARD,1381.75
DEBIT,11/16/2020,SAFEWAY #1253 SCOTTSDALE AZ                  11/15,-133.17,DEBIT_CARD,1409.75
DEBIT,11/16/2020,PAYPAL *MEDIUM.COM 402-935-7733 CA           11/15,-5,DEBIT_CARD,1542.92
DEBIT,11/16/2020,ELEVATE COFFEE COMPANY PHOENIX AZ            11/15,-6.88,DEBIT_CARD,1547.92
DEBIT,11/16/2020,CIRCLE K 05915 SCOTTSDALE AZ                 11/14,-1.82,DEBIT_CARD,1554.8
DEBIT,11/16/2020,SUSHI BROKERS SCOTTSDALE AZ                  11/15,-61.01,DEBIT_CARD,1556.62
DEBIT,11/16/2020,ELEVATE COFFEE COMPANY PHOENIX AZ            11/14,-7.4,DEBIT_CARD,1617.63
DEBIT,11/16/2020,SHELL OIL 10015716003 SCOTTSDALE AZ          11/13,-11.76,DEBIT_CARD,1625.03
DEBIT,11/16/2020,190PEPSIVEN9147678600 PHOENIX AZ             11/13,-1.75,DEBIT_CARD,1636.79
DEBIT,11/13/2020,WHOLEFDS SCT 10246 PHOENIX AZ                11/12,-47.05,DEBIT_CARD,1638.54
DEBIT,11/13/2020,GCU STUDENT UNION PHOENIX AZ                 11/12,-5.09,DEBIT_CARD,1685.59
DEBIT,11/13/2020,STARBUCKS STORE 62567 PHOENIX AZ             11/12,-3.2,DEBIT_CARD,1690.68
DEBIT,11/10/2020,HLU*Hulu 16100496551 HULU.COM/BILL CA        11/10,-12.94,DEBIT_CARD,1693.88
DEBIT,11/10/2020,APS electric pmt PAYMENT    3518057919      WEB ID: 1860011170,-96.55,ACH_DEBIT,1706.82
DEBIT,11/10/2020,WHOLEFDS SCT 10246 PHOENIX AZ                11/09,-13.36,DEBIT_CARD,1803.37
DEBIT,11/9/2020,SOUTHWEST GAS    WEB        4216220870021   WEB ID: 5880085720,-48.46,ACH_DEBIT,1816.73
DEBIT,11/9/2020,VZWRLSS*BILL PAY VN 800-922-0204 FL          11/07,-78.72,DEBIT_CARD,1865.19
DEBIT,11/9/2020,WHOLEFDS SCT 10246 PHOENIX AZ                11/08,-22.97,DEBIT_CARD,1943.91
DEBIT,11/9/2020,ELEVATE COFFEE COMPANY PHOENIX AZ            11/08,-6.88,DEBIT_CARD,1966.88
DEBIT,11/9/2020,ELEVATE COFFEE COMPANY PHOENIX AZ            11/07,-8.83,DEBIT_CARD,1973.76
DEBIT,11/9/2020,FATE BREWING TEMPE TEMPE AZ                  11/07,-24,DEBIT_CARD,1982.59
DEBIT,11/9/2020,GCU STUDENT UNION PHOENIX AZ                 11/06,-5.3,DEBIT_CARD,2006.59
DEBIT,11/6/2020,Online Transfer to SAV ...9797 transaction#: 10593155262 11/06,-1000,ACCT_XFER,2011.89
DEBIT,11/6/2020,Online Payment 10593112040 To ALA 5817 11/06,-432.61,LOAN_PMT,3011.89
DEBIT,11/6/2020,GCU STUDENT UNION PHOENIX AZ                 11/05,-2.16,DEBIT_CARD,3444.5
DEBIT,11/6/2020,TOPGOLF RIVERWALK 013-2 SCOTTSDALE AZ        11/03,-39.4,DEBIT_CARD,3446.66
CREDIT,11/6/2020,CVO HOLDING COMP DIRECT DEP                 PPD ID: 9111111101,2470.05,ACH_CREDIT,3486.06
DEBIT,11/3/2020,STAPLES 0715 SCOTTSDALE AZ           057094  11/03,-21.56,DEBIT_CARD,1016.01
DEBIT,11/2/2020,GOOGLE *YouTube Music 855-836-3987 CA        10/30,-10.85,DEBIT_CARD,1037.57
DEBIT,11/2/2020,FID BKG SVC LLC  MONEYLINE                  PPD ID: 0368004600,-1000,ACH_DEBIT,1048.42
DEBIT,11/2/2020,COSTCO WHSE #0427 SCOTTSDALE AZ      751574  11/02,-85.34,DEBIT_CARD,2048.42
DEBIT,11/2/2020,GRIMALDI'S PIZZA #01107 SCOTTSDALE AZ        11/01,-22.69,DEBIT_CARD,2133.76
DEBIT,11/2/2020,ELEVATE COFFEE COMPANY PHOENIX AZ            11/01,-4.94,DEBIT_CARD,2156.45
DEBIT,11/2/2020,BREAKFAST KITCHEN BAR S SCOTTSDALE AZ        11/01,-33.09,DEBIT_CARD,2161.39
DEBIT,11/2/2020,STAPLES 0715 SCOTTSDALE AZ           749708  10/31,-4.85,DEBIT_CARD,2194.48
DEBIT,11/2/2020,COSTCO GAS #0738 PHOENIX AZ          016180  10/31,-34.13,DEBIT_CARD,2199.33
DEBIT,11/2/2020,ELEVATE COFFEE COMPANY PHOENIX AZ            10/31,-15.34,DEBIT_CARD,2233.46
DEBIT,11/2/2020,ELEVATE COFFEE COMPANY PHOENIX AZ            10/31,-7.22,DEBIT_CARD,2248.8
DEBIT,11/2/2020,TRUE FOOD KITCHEN #1003 SCOTTSDALE AZ        10/30,-26.96,DEBIT_CARD,2256.02
CREDIT,11/2/2020,Online Transfer from SAV ...9797 transaction#: 10561395586,300,ACCT_XFER,2282.98
DEBIT,10/30/2020,CVS/PHARMACY #10529 SCOTTSDALE AZ            10/29,-2.19,DEBIT_CARD,1982.98
DEBIT,10/29/2020,DOORDASH*PEI WEI ASI WWW.DOORDASH. CA        10/28,-38.06,DEBIT_CARD,1985.17
DEBIT,10/29/2020,TOPGOLF RIVERWALK 013-2 SCOTTSDALE AZ        10/28,-35.61,DEBIT_CARD,2023.23
DEBIT,10/26/2020,GABLES-1JP20466  WEB PMTS   R21FL6          WEB ID: 9000326709,-1321,ACH_DEBIT,2058.84
DEBIT,10/26/2020,COSTCO WHSE #0427 SCOTTSDALE AZ      187178  10/25,-54.8,DEBIT_CARD,3379.84
DEBIT,10/26/2020,SQ *PRESS SCOTTSDALE QU Scottsdale AZ        10/25,-8.29,DEBIT_CARD,3434.64
DEBIT,10/26/2020,STARBUCKS STORE 02940 SCOTTSDALE AZ          10/24,-7.13,DEBIT_CARD,3442.93
DEBIT,10/26/2020,GRIMALDI'S PIZZA #01107 SCOTTSDALE AZ        10/23,-44.82,DEBIT_CARD,3450.06
DEBIT,10/23/2020,FRY'S FOOD DRG 0673 SCOTTSDALE AZ            10/22,-22.34,DEBIT_CARD,3494.88
DEBIT,10/23/2020,CVS/PHARMACY #10529 SCOTTSDALE AZ            10/22,-16.8,DEBIT_CARD,3517.22
DEBIT,10/23/2020,CVS/PHARMACY #10529 SCOTTSDALE AZ            10/22,-5.16,DEBIT_CARD,3534.02
DEBIT,10/23/2020,190PEPSIVEN9147678600 PHOENIX AZ             10/21,-2,DEBIT_CARD,3539.18
CREDIT,10/23/2020,CVO HOLDING COMP DIRECT DEP                 PPD ID: 9111111101,2470.05,ACH_CREDIT,3541.18
DEBIT,10/22/2020,TOPGOLF RIVERWALK 013-2 SCOTTSDALE AZ        10/21,-70,DEBIT_CARD,1071.13
DEBIT,10/20/2020,A. WILLIAM CHOULES DDS PHOENIX AZ            10/19,-9,DEBIT_CARD,1141.13
DEBIT,10/20/2020,SAFEWAY #1750 SCOTTSDALE AZ                  10/19,-68.44,DEBIT_CARD,1150.13
DEBIT,10/19/2020,CULINARY DROPOUT SCOTTSDALE AZ               10/18,-42.93,DEBIT_CARD,1218.57
DEBIT,10/19/2020,BJS RESTAURANTS 447 PHOENIX AZ               10/17,-27.52,DEBIT_CARD,1261.5
DEBIT,10/19/2020,WHOLEFDS SCT 10246 PHOENIX AZ                10/16,-8.98,DEBIT_CARD,1289.02
DEBIT,10/19/2020,CIRCLE K # 03459 PHOENIX AZ                  10/16,-39.96,DEBIT_CARD,1298
DEBIT,10/19/2020,STARBUCKS STORE 02940 SCOTTSDALE AZ          10/16,-3.19,DEBIT_CARD,1337.96
DEBIT,10/16/2020,FRY'S FOOD DRG 0673 SCOTTSDALE AZ            10/14,-35.94,DEBIT_CARD,1341.15
